# cluster  IDs
A1651       26810,33095,35604,44117,47460,51742,51798,52988,54424,57376,57438,58456,59178,59210,59428,60129,60828,61765,61925,61984,63757,64930,65267,65799,65947,66754,67895,72114,76155,77167,82257,86507,86572
A2065       42283,44508,49589,56115,63337,64282,64914,69475,72241,75287,78261,86049,111573
A1650       49752,53944,62290,63871,69673,76889,78059,78680,80540,81619,82884,87275,94052,94627,96569
A2495       39511,41539,45842,51491,52273,52921,60043,60246,60912,64673,75149,76623,76844
A2033       35848,42957,46972,47423,47572,48166,51054,52989,53475,61807,66418,70989,76618,78296,80072,80926,85176,86720,87877,90840,92680,94366,96162,113425,119117
A780        16628,18851,20570,21404,22154,22477,23550,25434,25610,27152,27759,28974,29335,29653,30153,32905,33361,36371,37575,39044,39141,40285,50350,50950,51559,53623,58541,59060,60926,60990,61737,64693,64944,65367,65748,66372,67622,68292,68679,69228,69507,69550,71319,72262,74338,76326,79446,79697,82611,83602,83851,89150,90765,93537,98233,100509,101493
A1651       26810,33095,35604,44117,47460,51742,51798,52988,54424,57376,57438,58456,59178,59210,59428,60129,60828,61765,61925,61984,63757,64930,65267,65799,65947,66754,67895,72114,76155,77167,82257,86507,86572
A2065       42283,44508,49589,56115,63337,64282,64914,69475,72241,75287,78261,86049,111573
A1795       24929,26358,27123,27918,28742,29334,29763,31229,31582,34560,35578,35726,36350,36597,36711,36968,36974,38763,38971,41321,44261,46200,46390,47246,48423,48581,48769,49458,49481,49951,50765,51034,51352,51564,51769,53755,53905,55938,58639,59251,59623,61023,62092,64760,65549,66495,66588,67093,67866,70442,70532,71537,71767,72299,72614,72700,72771,74304,75760,77438,77721,78350,78774,79992,80793,82443,83252,84620,85108,85709,86056,86444,86867,87463,87670,88146,88242,88501,89339,89439,89471,90539,92090,92316,94139,94410,95141,95617,95730,95960,96116,96195,97017,98220,100316,100826,102758,103372,105159,105548,105625,105946,106597,106616,107008,108735
A2065       42283,44508,49589,56115,63337,64282,64914,69475,72241,75287,78261,86049,111573
A1651       26810,33095,35604,44117,47460,51742,51798,52988,54424,57376,57438,58456,59178,59210,59428,60129,60828,61765,61925,61984,63757,64930,65267,65799,65947,66754,67895,72114,76155,77167,82257,86507,86572
A780        16628,18851,20570,21404,22154,22477,23550,25434,25610,27152,27759,28974,29335,29653,30153,32905,33361,36371,37575,39044,39141,40285,50350,50950,51559,53623,58541,59060,60926,60990,61737,64693,64944,65367,65748,66372,67622,68292,68679,69228,69507,69550,71319,72262,74338,76326,79446,79697,82611,83602,83851,89150,90765,93537,98233,100509,101493
A780        16628,18851,20570,21404,22154,22477,23550,25434,25610,27152,27759,28974,29335,29653,30153,32905,33361,36371,37575,39044,39141,40285,50350,50950,51559,53623,58541,59060,60926,60990,61737,64693,64944,65367,65748,66372,67622,68292,68679,69228,69507,69550,71319,72262,74338,76326,79446,79697,82611,83602,83851,89150,90765,93537,98233,100509,101493
A1795       24929,26358,27123,27918,28742,29334,29763,31229,31582,34560,35578,35726,36350,36597,36711,36968,36974,38763,38971,41321,44261,46200,46390,47246,48423,48581,48769,49458,49481,49951,50765,51034,51352,51564,51769,53755,53905,55938,58639,59251,59623,61023,62092,64760,65549,66495,66588,67093,67866,70442,70532,71537,71767,72299,72614,72700,72771,74304,75760,77438,77721,78350,78774,79992,80793,82443,83252,84620,85108,85709,86056,86444,86867,87463,87670,88146,88242,88501,89339,89439,89471,90539,92090,92316,94139,94410,95141,95617,95730,95960,96116,96195,97017,98220,100316,100826,102758,103372,105159,105548,105625,105946,106597,106616,107008,108735
A780        16628,18851,20570,21404,22154,22477,23550,25434,25610,27152,27759,28974,29335,29653,30153,32905,33361,36371,37575,39044,39141,40285,50350,50950,51559,53623,58541,59060,60926,60990,61737,64693,64944,65367,65748,66372,67622,68292,68679,69228,69507,69550,71319,72262,74338,76326,79446,79697,82611,83602,83851,89150,90765,93537,98233,100509,101493
